REFC:entire atmosphere:1 hour fcst:,"Composite reflectivity [dB]"
MAXUW:10 m above ground:0-1 hour max fcst:,"Component of Hourly Maximum 10m Wind Speed [m/s]"
MAXVW:10 m above ground:0-1 hour max fcst:,"Component of Hourly Maximum 10m Wind Speed [m/s]"
CPOFP:surface:1 hour fcst:,"Percent frozen precipitation [%]"
PRATE:surface:1 hour fcst:,"Precipitation Rate [kg/m^2/s]"
APCP:surface:0-1 hour acc fcst:,"Total Precipitation [kg/m^2]"
WEASD:surface:0-1 hour acc fcst:,"Water Equivalent of Accumulated Snow Depth [kg/m^2]"
FROZR:surface:0-1 hour acc fcst:,"Frozen Rain [kg/m^2]"
FRZR:surface:0-1 hour acc fcst:,"Freezing Rain [kg/m^2]"
SSRUN:surface:0-1 hour acc fcst:,"Storm Surface Runoff [kg/m^2]"
BGRUN:surface:0-1 hour acc fcst:,"Baseflow-Groundwater Runoff [kg/m^2]"
CSNOW:surface:1 hour fcst:,"Categorical Snow [-]"
CICEP:surface:1 hour fcst:,"Categorical Ice Pellets [-]"
CFRZR:surface:1 hour fcst:,"Categorical Freezing Rain [-]"
CRAIN:surface:1 hour fcst:,"Categorical Rain [-]"
SFCR:surface:1 hour fcst:,"Surface Roughness [m]"
FRICV:surface:1 hour fcst:,"Frictional Velocity [m/s]"
SHTFL:surface:1 hour fcst:,"Sensible Heat Net Flux [W/m^2]"
LHTFL:surface:1 hour fcst:,"Latent Heat Net Flux [W/m^2]"
VEG:surface:1 hour fcst:,"Vegetation [%]"
VEGMIN:surface:1 hour fcst:,"Vegetation [%]"
VEGMAX:surface:1 hour fcst:,"Vegetation [%]"
LAI:surface:1 hour fcst:,"Leaf Area Index [Numeric]"
GFLUX:surface:1 hour fcst:,"Ground Heat Flux [W/m^2]"
VGTYP:surface:1 hour fcst:,"Vegetation Type [Integer(0- 13)]"
LFTX:500-1000 mb:1 hour fcst:,"Surface Lifted Index [K]"
CAPE:surface:1 hour fcst:,"Convective Available Potential Energy [J/kg]"
CIN:surface:1 hour fcst:,"Convective Inhibition [J/kg]"
PWAT:entire atmosphere (considered as a single layer):1 hour fcst:,"Precipitable Water [kg/m^2]"
AOTK:entire atmosphere (considered as a single layer):1 hour fcst:,"Aerosol Optical Thickness [Numeric]"
COLMD:entire atmosphere (considered as a single layer):1 hour fcst:,"Column-Integrated Mass Density [kg/m^2]"
TCOLW:entire atmosphere:1 hour fcst:,"Column-Integrated Mass Density [kg/m^2]"
TCOLI:entire atmosphere:1 hour fcst:,"Column-Integrated Mass Density [kg/m^2]"
TCDC:boundary layer cloud layer:1 hour fcst:,"Total Cloud Cover [%]"
LCDC:low cloud layer:1 hour fcst:,"Low Cloud Cover [%]"
MCDC:middle cloud layer:1 hour fcst:,"Medium Cloud Cover [%]"
HCDC:high cloud layer:1 hour fcst:,"High Cloud Cover [%]"
TCDC:entire atmosphere:1 hour fcst:,"Total Cloud Cover [%]"
HGT:cloud ceiling:1 hour fcst:,"Geopotential Height [gpm]"
HGT:cloud base:1 hour fcst:,"Geopotential Height [gpm]"
PRES:cloud base:1 hour fcst:,"Pressure [Pa]"
PRES:cloud top:1 hour fcst:,"Pressure [Pa]"
HGT:cloud top:1 hour fcst:,"Geopotential Height [gpm]"
ULWRF:top of atmosphere:1 hour fcst:,"Upward Long-Wave Rad. Flux [W/m^2]"
DSWRF:surface:1 hour fcst:,"Downward Short-Wave Radiation Flux [W/m^2]"
DLWRF:surface:1 hour fcst:,"Downward Long-Wave Rad. Flux [W/m^2]"
USWRF:surface:1 hour fcst:,"Upward Short-Wave Radiation Flux [W/m^2]"
ULWRF:surface:1 hour fcst:,"Upward Long-Wave Rad. Flux [W/m^2]"
CFNSF:surface:1 hour fcst:,"Cloud Forcing Net Solar Flux [W/m^2]"
VBDSF:surface:1 hour fcst:,"Visible Beam Downward Solar Flux [W/m^2]"
VDDSF:surface:1 hour fcst:,"Visible Diffuse Downward Solar Flux [W/m^2]"
USWRF:top of atmosphere:1 hour fcst:,"Upward Short-Wave Radiation Flux [W/m^2]"
HLCY:3000-0 m above ground:1 hour fcst:,"Storm Relative Helicity [m^2/s^2]"
HLCY:1000-0 m above ground:1 hour fcst:,"Storm Relative Helicity [m^2/s^2]"
USTM:0-6000 m above ground:1 hour fcst:,"U-Component Storm Motion [m/s]"
VSTM:0-6000 m above ground:1 hour fcst:,"V-Component Storm Motion [m/s]"
VUCSH:0-1000 m above ground:1 hour fcst:,"Vertical U-Component Shear [1/s]"
VVCSH:0-1000 m above ground:1 hour fcst:,"Vertical V-Component Shear [1/s]"
VUCSH:0-6000 m above ground:1 hour fcst:,"Vertical U-Component Shear [1/s]"
VVCSH:0-6000 m above ground:1 hour fcst:,"Vertical V-Component Shear [1/s]"
HGT:0C isotherm:1 hour fcst:,"Geopotential Height [gpm]"
RH:0C isotherm:1 hour fcst:,"Relative Humidity [%]"
PRES:0C isotherm:1 hour fcst:,"Pressure [Pa]"
HGT:highest tropospheric freezing level:1 hour fcst:,"Geopotential Height [gpm]"
RH:highest tropospheric freezing level:1 hour fcst:,"Relative Humidity [%]"
PRES:highest tropospheric freezing level:1 hour fcst:,"Pressure [Pa]"
HGT:263 K level:1 hour fcst:,"Geopotential Height [gpm]"
HGT:253 K level:1 hour fcst:,"Geopotential Height [gpm]"
4LFTX:180-0 mb above ground:1 hour fcst:,"Best (4 layer) Lifted Index [K]"
CAPE:180-0 mb above ground:1 hour fcst:,"Convective Available Potential Energy [J/kg]"
CIN:180-0 mb above ground:1 hour fcst:,"Convective Inhibition [J/kg]"
HPBL:surface:1 hour fcst:,"Planetary Boundary Layer Height [m]"
HGT:level of adiabatic condensation from sfc:1 hour fcst:,"Geopotential Height [gpm]"
CAPE:90-0 mb above ground:1 hour fcst:,"Convective Available Potential Energy [J/kg]"
CIN:90-0 mb above ground:1 hour fcst:,"Convective Inhibition [J/kg]"
CAPE:255-0 mb above ground:1 hour fcst:,"Convective Available Potential Energy [J/kg]"
CIN:255-0 mb above ground:1 hour fcst:,"Convective Inhibition [J/kg]"
HGT:equilibrium level:1 hour fcst:,"Geopotential Height [gpm]"
PLPL:255-0 mb above ground:1 hour fcst:,"Pressure of level from which parcel was lifted [Pa]"
CAPE:0-3000 m above ground:1 hour fcst:,"Convective Available Potential Energy [J/kg]"
HGT:level of free convection:1 hour fcst:,"Geopotential Height [gpm]"
EFHL:surface:1 hour fcst:,"Geopotential Height [gpm]"
CANGLE:0-500 m above ground:1 hour fcst:,"Geopotential Height [gpm]"
LAYTH:261 K level - 256 K level:1 hour fcst:,"Layer Thickness [m]"
ESP:0-3000 m above ground:1 hour fcst:,"Layer Thickness [m]"
RHPW:entire atmosphere:1 hour fcst:,"Relative Humidity with Respect to Precipitable Water [%]"
LAND:surface:1 hour fcst:,"Land Cover (0=sea, 1=land) [Proportion]"
ICEC:surface:1 hour fcst:,"Ice Cover [Proportion]"
SBT123:top of atmosphere:1 hour fcst:,"Simulated Brightness Temperature for GOES 12, Channel 3 [K]"
SBT124:top of atmosphere:1 hour fcst:,"Simulated Brightness Temperature for GOES 12, Channel 4 [K]"
SBT113:top of atmosphere:1 hour fcst:,"Simulated Brightness Temperature for GOES 11, Channel 3 [K]"
SBT114:top of atmosphere:1 hour fcst:,"Simulated Brightness Temperature for GOES 11, Channel 4 [K]"
